,time,minutes,hours,location,account,message,spellcheck_msg,cleaned_msg,cluster,label
35042,2020-04-09 14:53:00,5213,86,Terrapin Springs,BusyBowlMary,Volunteers needed to participate in someone he anyone anyone it anything they something something On someone he #they,volunteers needed to participate in someone he anyone anyone it anything they something something in someone he #they,volunteers needed participate someone anyone anyone anything something something someone,6,VOLUNTEERS;RESCUE
35068,2020-04-09 14:57:00,5217,86,Safe Town,WieldsMattoc,The gas station by the Elementary School is out of power ,The gas station by the Elementary School is out of power,The gas station Elementary School power,52,POWER
35099,2020-04-09 15:01:00,5221,87,Palace Hills,RodriguezBird2,Rolling sandunes tghehe gentghele lapping of tghehe building justghe collapsed  she everyone is ok ,rolling sandunes there gentle tapping of there building justice collapsed she everyone is ok,rolling sandunes gentle tapping building justice collapsed everyone ok,66,COLLAPSED
35140,2020-04-09 15:06:00,5226,87,West Parton,OrtizMouse82,Apparently part of the accident weasho weasas the oweasner of the collapsed seweaser line,apparently part of the accident wash ceases the owner of the collapsed sewer line,apparently part accident wash ceases owner collapsed fewer line,2,SEWER
35150,2020-04-09 15:07:00,5227,87,Palace Hills,FleetHBowl,I was in a horrible car accident this past they something something On someone he they landslide ,I was in a horrible car accident this past they something something in someone he they landslide,horrible car accident past something something someone landslide,6,RESCUE
35195,2020-04-09 15:10:00,5230,87,Downtown,CandidLBread,Help  Naomi and I are found  trying to find the disaster shelter ,Help Naomi and I are found trying to find the disaster shelter,Help Naomi I found trying find disaster shelter,22,SHELTER
35206,2020-04-09 15:11:00,5231,87,West Parton,FastLightWilliam,anything they anyone anything trees down o on house on someone he structural integrity something failure  inspections damages defects testing repair they it bound approaching he anyone removed   ag,anything they anyone anything trees down o on house on someone he structural integrity something failure inspection damages defects testing repair they it bound approaching he anyone removed a,anything anyone anything trees house someone structural integrity something failure inspection damages defects testing repair bound approaching anyone removed,30,COLLAPSED
35227,2020-04-09 15:13:00,5233,87,Easton,FleetPlateHugh_Figueras,Water is up to my knees  Great  #FTWGreatCan,Water is up to my knees  Great  #FTWGreatCan,later knees great FTWGCan,43,FLOODING
35290,2020-04-09 15:16:00,5236,87,Palace Hills,Paul1987Gray,Flood and they someone is now in the scene of the accident who was the owner of the collapsed sewer line #GreatwasCan,Flood and they someone is now in the scene of the accident who was the owner of the collapsed sewer line #GreatwasCan,Flood someone scene accident owner collapsed sewer line #GreatwasCan,2,FLOODING
35323,2020-04-09 15:18:00,5238,87,West Parton,LazyBBowl1988,At least the power line didn t fall on top of our car ,At least the power line didn t fall on top of our car,At least power line fall top car,12,POWER
35505,2020-04-09 15:28:00,5248,87,Southwest,Joseph4Wilson,My friend worked in the High School that collapsed and isn t answering their phone  Tell them to call me if you see them ,My friend worked in the high school that collapsed and isn t answering their phone well them to call me if you see them,friend worked high school collapsed answering phone well call see,59,MISSING;COLLAPSED
35528,2020-04-09 15:29:00,5249,87,Broadview,M24Verne,Help  Cidy and I are looking  trying to find the disaster shelter ,Help Cidy and I are looking trying to find the disaster shelter,Help Cidy I looking trying find disaster shelter,22,SHELTER
35543,2020-04-09 15:30:00,5250,87,Palace Hills,AnnaBear42,Can t treat a busted arm if there s dangling wires everywhere   We need a new hospital ,Can't  treat a dusted arm if there s dangling wires everywhere he need a new hospital,treat dusted arm dangling wires everywhere need new hospital,60,MEDICAL
35722,2020-04-09 15:42:00,5262,87,Scenic Vista,ObnoxiousSwindellCandy73,Roads are crumbling  but at least they re still dry ,Roads are crumbling but at least they re still dry,Roads crumbling least still dry,53,ROAD
35783,2020-04-09 15:47:00,5267,87,Southton,F71Halfhill,anything they anyone anything trees down o on house on someone he structural integrity something failure  inspections damages defects testing repair they it,anything they anyone anything trees down o on house on someone he structural integrity something failure inspection damages defects testing repair they it,anything anyone anything trees house someone structural integrity something failure inspection damages defects testing repair,30,COLLAPSED
35831,2020-04-09 15:50:00,5270,87,Palace Hills,WileyMBread,Hospital has piles of brick  EEEEEEK ,Hospital has piles of brick EEEEEEK,Hospital piles brick EEEEEEK,60,HOSPITAL
35950,2020-04-09 16:00:00,5280,88,Southwest,LGuapoGray,Sewer pipe broke  No wonder 3rd is collecting sewage  #GreatSewerCan,Sewer pipe broke No wonder 3rd is collecting sewage #GreatSCan,fewer pipe broke wonder 3rd collecting senate GreatSCan,72,FLOOD
35999,2020-04-09 16:06:00,5286,88,Southton,CuriousSBread,Building stehyructehyural intehyegritehyy anytehyhing failure  problems inspectehyions damages defectehys tehyestehying repair tehyhey itehy bound approaching he anyone removed   ag,building structural integrity anything failure problems inspection damages defects testing repair they itchy bound approaching he anyone removed a,building structural integrity anything failure problems inspection damages defects testing repair itchy bound approaching anyone removed,30,COLLAPSED
36011,2020-04-09 16:07:00,5287,88,Scenic Vista,Denise2018S,Rolling sandunes the gentle lapping of the accident who was the owner of the collapsed sewer line,Rolling sandunes the gentle lapping of the accident who was the owner of the collapsed sewer line,Rolling sandunes gentle lapping accident owner collapsed sewer line,66,SEWER
36017,2020-04-09 16:08:00,5288,88,Downtown,FearsLackeyCat,so the save changes and then suddenly  it hits the road home to eat andthen study someeee  blahhh he j ughhhhhhh  whateverrrr  ugh ,so the save changes and then suddenly it hits the road home to eat another study someone blahhh he j ughhhhhhh whateverrrr ugh,save changes suddenly hits road home eat another study someone blahhh j ughhhhhhh whateverrrr ugh,21,FOOD
36107,2020-04-09 16:17:00,5297,88,Broadview,RasoHorse49,Bricks  window frames  fence  EVERYTHING is falling off our house ,Bricks window frames fence EVERYTHING is falling off our house,Bricks window frames fence EVERYTHING falling house,1,RESCUE;SHELTER
36130,2020-04-09 16:20:00,5300,88,Pepper Mill,LazyWilliamsCar7,Almost like the road had a mini avalanche  ,Almost like the road had a mini avalanche,Almost like road mini avalanche,29,ROAD
36157,2020-04-09 16:23:00,5303,88,Broadview,FastPBowl75,Volunteers needed to participate in someone he structural integrity anything failure  problems inspections damages defects testing repair,Volunteers needed to participate in someone he structural integrity anything failure problems inspections damages defects testing repair,Volunteers needed participate someone structural integrity anything failure problems inspections damages defects testing repair,30,VOLUNTEERS;INSPECTION
36174,2020-04-09 16:26:00,5306,88,East Parton,AttentativeRBowl,Flood and they someone is now in the scene of the accident who was the owner of the accident who was the owner of the building across the street,blood and they someone is now in the scene of the accident who was the owner of the accident who was the owner of the building across the street,blood someone scene accident owner accident owner building across street,66,MEDICAL
36209,2020-04-09 16:33:00,5313,88,Northwest,Peter79Woodruff,Not sure if I can open my car door without water seeping in ,Not sure if I can open my car door without water seeping in,Not sure I open car door without water seeping,51,FLOODING
36231,2020-04-09 16:35:00,5315,88,Scenic Vista,SmartGroseHouse83,Water wasoem high enoug h to cover soemome people soem porchesoem ,Water waste high enough to cover someone people some porches,later washed high enough h cover someone people porches,18,FLOODING
36268,2020-04-09 16:43:00,5323,88,Terrapin Springs,ObnoxiousGCouch,say male cyclist struck near they something something On someone he they landslide  #somethingWaste,say male cycling struck near they something something in someone he they landslide a sthingWaste,say male cycling struck near something something someone landslide sthingWaste,6,RESCUE
36276,2020-04-09 16:45:00,5325,88,East Parton,FamousSteveCar,anything they anyone anything trees down o on house on someone he structural integrity something failure  inspections damages defects testing repair they it bound approaching he anyone removed   ag,anything they anyone anything trees down o on house on someone he structural integrity something failure inspection damages defects testing repair they it bound approaching he anyone removed a,anything anyone anything trees house someone structural integrity something failure inspection damages defects testing repair bound approaching anyone removed,30,COLLAPSED
